"filename", "language", "JSON with Comments", "TypeScript", "PostCSS", "JavaScript", "MS SQL", "TypeScript JSX", "JSON", "Markdown", "comment", "blank", "total"
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/app/+not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/app/_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 2, 12, 76
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/babel.config.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 2, 36
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/cesconfig.jsonc", "JSON with Comments", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/eas.json", "JSON with Comments", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/eslint.config.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 1, 2, 16
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/global.css", "PostCSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/metro.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 9
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/nativewind-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 15088, 0, 0, 1, 15089
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/package.json", "JSON", 0, 0, 0, 0, 0, 0, 74, 0, 0, 1, 75
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/prettier.config.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/components/OfflineBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 84, 0, 0, 0, 8, 92
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/components/layout/KeyboardAvoidingContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 3, 33
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/components/layout/ScreenContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 1, 3, 23
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/components/layout/TopDownScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 0, 10, 93
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/components/ui/Avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/components/ui/Badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 0, 5, 38
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/components/ui/BottomNav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 140, 0, 0, 0, 10, 150
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/components/ui/BottomSheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 140, 0, 0, 0, 14, 154
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/components/ui/BreathingLoader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 0, 8, 71
